url,brand,title,price,Аккумуляторная батарея__Ёмкость батареи (доступная),Аккумуляторная батарея__Время быстрой зарядки,Аккумуляторная батарея__Время зарядки,Аккумуляторная батарея__Емкость батареи,Аккумуляторная батарея__Запас хода на электричестве,Аккумуляторная батарея__Количество циклов зарядки,Аккумуляторная батарея__Максимальная мощность зарядки,Аккумуляторная батарея__Описание быстрой зарядки,Аккумуляторная батарея__Температурный режим батареи,Аккумуляторная батарея__Тип батареи,Аккумуляторная батарея__Тип разъема для зарядки,Владение__Владельцы,Владение__Во владении,Владение__Гарантия,Владение__Год выпуска,Владение__Госномер,Владение__Налог,Владение__Обмен,Владение__ПТС,Владение__Пробег,Владение__Продажа с НДС,Владение__Состояние,Владение__Таможня,Двигатель__ГРМ,Двигатель__Диаметр цилиндра и ход поршня,Двигатель__Код двигателя,Двигатель__Количество цилиндров,Двигатель__Максимальная мощность,Двигатель__Максимальный крутящий момент,Двигатель__Методика расчета расхода,Двигатель__Объем двигателя,Двигатель__Расположение двигателя,Двигатель__Расположение цилиндров,Двигатель__Система питания двигателя,Двигатель__Степень сжатия,Двигатель__Тип двигателя,Двигатель__Тип наддува,Двигатель__Число клапанов на цилиндр,Общая информация__Класс автомобиля,Общая информация__Количество дверей,Общая информация__Количество мест,Общая информация__Расположение руля,Общая информация__Страна марки,Объём и масса__Объем багажника мин/макс,Объём и масса__Объём топливного бака,Объём и масса__Полная масса,Объём и масса__Снаряженная масса,Подвеска и тормоза__Задние тормоза,Подвеска и тормоза__Передние тормоза,Подвеска и тормоза__Тип задней подвески,Подвеска и тормоза__Тип передней подвески,Размеры__Высота,Размеры__Длина,Размеры__Клиренс,Размеры__Колёсная база,Размеры__Размер колёс,Размеры__Размеры дисков,Размеры__Сверловка,Размеры__Ширина,Размеры__Ширина задней колеи,Размеры__Ширина передней колеи,Трансмиссия__Количество передач,Трансмиссия__Коробка передач,Трансмиссия__Тип привода,Эксплуатационные показатели__Выбросы CO2,Эксплуатационные показатели__Максимальная скорость,Эксплуатационные показатели__Марка топлива,Эксплуатационные показатели__Разгон до 100 км/ч,Эксплуатационные показатели__Расход,"Эксплуатационные показатели__Расход топлива, город/трасса/смешанный",Эксплуатационные показатели__Экологический класс
https://auto.ru/cars/used/sale/vaz/ellada/1124149610-9aa1832a/,Lada (ВАЗ),"Lada (ВАЗ) EL Lada, 2013",550 000,,,,23.0 кВт⋅ч,150 км,3000,,,,Литий-железо-фосфатная (LFP),Type 2,2 владельца,1 год и 9 месяцев,,2013,******|550,0 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,54 868 км,,Не требует ремонта,Растаможен,,,,,82 л.с. (60 кВт),,,,,,,,Электро,,,B,5,5,Левый,Россия,350/650 л,,,1200 кг,Барабанные,Дисковые,"Полунезависимая, пружинная","Независимая, пружинная",1500 мм,4040 мм,170 мм,2470 мм,"175/65 R14, 185/60 R14","5.5x14 ET35, 6x15 ET33, 6x15 ET35",DIA58.6 4x98 мм,1700 мм,1410 мм,1430 мм,1,Автомат,Передний,,130 км/ч,,13.0 с,,,
https://auto.ru/cars/used/sale/mitsubishi/i_miev/1122941387-7e789801/,Mitsubishi,"Mitsubishi i-MiEV, 2012",990 000,14.5 кВт⋅ч,30 мин,,16.0 кВт⋅ч,130 км,,,До 80% при 50 кВт,-20-31 С,Литий-ионная (Li-ion),,2 владельца,,,2012,******|797,0 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,34 300 км,,Не требует ремонта,Растаможен,,,,,67 л.с. (49 кВт) при 8000 об/мин,180 Н⋅м при 2000 об/мин,,,,,,,Электро,,,A,5,4,Левый/Правый,Япония,,,,1100 кг,Барабанные,Дисковые вентилируемые,"Зависимая, пружинная","Независимая, пружинная",1610 мм,3475 мм,150 мм,2550 мм,,4x15 ET35 / 5x15 ET35,DIA56.1 4x100 мм,1475 мм,1270 мм,1310 мм,,Автомат,Задний,,130 км/ч,,9.5 с,13.5 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/tesla/model_3/1131547096-1e2cdcdc/,Tesla,"Tesla Model 3 Mid Range I, 2018",2 750 000,,27 мин,22.38 ч,62.0 кВт⋅ч,457 км,,200.0 кВт,,,Литий-ионная (Li-ion),,3 владельца,,,2018,******|550,0 ₽ в год,,Оригинал/Электронный,107 000 км,,Не требует ремонта,Растаможен,,,,,287 л.с. (211 кВт),450 Н⋅м,WLTP,,,,,,Электро,,,D,4,5,Левый,США,340 л,,2180 кг,1672 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1443 мм,4694 мм,140 мм,2875 мм,235/45 R18,"8.5x21 ET40, 8x19 ET40, 8x20 ET40",DIA64.1 5x114.3 мм,1849 мм,1580 мм,1580 мм,1,Автомат,Задний,,225 км/ч,,5.2 с,17.0 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/tesla/model_s/1129486757-68f66f45/,Tesla,"Tesla Model S S85 I, 2014",2 500 000,,34 мин,25.4 ч,85.0 кВт⋅ч,426 км,,120.0 кВт,До 80% при 120 кВт,,Литий-ионная (Li-ion),Tesla SG,2 владельца,,,2014,******|977,0 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,187 000 км,,Не требует ремонта,Растаможен,,,,,388 л.с. (285 кВт),658 Н⋅м,,,,,,,Электро,,,F,5,5,Левый,США,,,,2108 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пневмоэлемент",1435 мм,4976 мм,152 мм,2959 мм,245/45 R19,"8.5x21 ET40, 8x19 ET40, 8x20 ET40",DIA64.1 5x120 мм,1963 мм,1699 мм,1661 мм,1,Автомат,Задний,,225 км/ч,,5.4 с,,,
https://auto.ru/cars/used/sale/tesla/model_s/1119027519-c5b26ff6/,Tesla,"Tesla Model S P100D I Рестайлинг, 2018",4 500 000,,40 мин,30.11 ч,100.0 кВт⋅ч,507 км,,,До 80% при 120 кВт,-30-60 С,Литий-ионная (Li-ion),,,,До июня 2027,2018,,0 ₽ в год,Рассмотрю варианты,,60 000 км,,Не требует ремонта,"Растаможен, нет ПТС",,,,,762 л.с. (568 кВт),967 Н⋅м,EPA,,,,,,Электро,,,F,5,5,Левый,США,891 л,,2720 кг,2241 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пневмоэлемент","Независимая, пневмоэлемент",1435 мм,4970 мм,144 мм,2960 мм,"245/35 R21, 245/45 R19","8.5x21 ET40, 8.5x21 ET40 / 9x21 ET40, 8x19 ET40",DIA64.1 5x120 мм,1964 мм,1700 мм,1662 мм,1,Автомат,Полный,,250 км/ч,,2.7 с,20.0 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/nissan/leaf/1129804490-82f9eb93/,Nissan,"Nissan Leaf II (ZE1), 2018",2 420 000,,35 мин,,40.0 кВт⋅ч,270 км,,,До 80% при 50 кВт,-35-45 С,Литий-ионная (Li-ion),CHAdeMO,2 владельца,,,2018,******|790,0 ₽ в год,,Оригинал/Электронный,130 000 км,,Не требует ремонта,Растаможен,,,EM57,,150 л.с. (110 кВт) при 9795 об/мин,320 Н⋅м при 3283 об/мин,,,,,,,Электро,,,C,5,5,Левый/Правый,Япония,400/1176 л,,1995 кг,1580 кг,Дисковые,Дисковые вентилируемые,"Полунезависимая, пружинная","Независимая, пружинная",1530 мм,4490 мм,155 мм,2700 мм,"205/55 R16, 215/50 R17","6.5x16 ET40, 6.5x17 ET45",DIA66.1 5x114.3 мм,1788 мм,1530 мм,1540 мм,,Автомат,Передний,,144 км/ч,,7.9 с,,,
https://auto.ru/cars/used/sale/smart/forfour/1126958773-c3fc8428/,Smart,"Smart Forfour II, 2021",2 200 000,,,,16.7 кВт⋅ч,155 км,,,,,Литий-ионная (Li-ion),,1 владелец,,,2021,******|797,0 ₽ в год,,Оригинал/Электронный,19 000 км,,Не требует ремонта,Растаможен,,,,,82 л.с. (60 кВт),160 Н⋅м,,,Заднее,,,,Электро,нет,,A,5,4,Левый/Правый,Германия,185/975 л,,,1200 кг,Барабанные,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1554 мм,3495 мм,120 мм,2492 мм,,"5x15 ET32 / 5.5x15 ET42, 6x16 ET44 / 6.5x16 ET40",DIA60.1 4x100 мм,1665 мм,1429 мм,1467 мм,,Автомат,Задний,,130 км/ч,,12.7 с,,,Euro 6
https://auto.ru/cars/used/sale/tesla/model_x/1123676473-dfb8ba4a/,Tesla,"Tesla Model X 90D I, 2017",4 600 000,,45 мин,27.1 ч,90.0 кВт⋅ч,489 км,,,От 10% до 80% при 145 кВт,-30-60 С,Литий-ионная (Li-ion),,1 владелец,,До июня 2027,2017,******|197,0 ₽ в год,Рассмотрю варианты,Оригинал/Электронный,78 000 км,,Не требует ремонта,Растаможен,,,,,525 л.с. (386 кВт),930 Н⋅м,NEDC,,,,,,Электро,,,E,5,7,Левый,США,895/1795 л,,3020 кг,2389 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1626 мм,5004 мм,180 мм,3061 мм,,9x20 ET35 / 9.5x20 ET40,DIA64.1 5x120 мм,2083 мм,,,1,Автомат,Полный,,250 км/ч,,5.0 с,21.0 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/tesla/model_s/1124838458-6c66671b/,Tesla,"Tesla Model S 75 I Рестайлинг, 2017",2 900 000,,38 мин,22.38 ч,75.0 кВт⋅ч,401 км,,120.0 кВт,До 80% при 120 кВт,-30-60 С,Литий-ионная (Li-ion),Tesla SG,2 владельца,2 года и 9 месяцев,,2017,******|977,0 ₽ в год,,Оригинал/Электронный,118 000 км,,Не требует ремонта,Растаможен,,,,,320 л.с. (235 кВт),441 Н⋅м,EPA,,,,,,Электро,,,F,5,5,Левый,США,891 л,,2590 кг,2027 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пневмоэлемент","Независимая, пневмоэлемент",1435 мм,4970 мм,144 мм,2960 мм,"245/35 R21, 245/45 R19","8.5x21 ET40, 8.5x21 ET40 / 9x21 ET40, 8x19 ET40",DIA64.1 5x120 мм,1964 мм,1700 мм,1662 мм,1,Автомат,Задний,,230 км/ч,,5.5 с,18.5 кВт⋅ч/100 км,,
https://auto.ru/cars/used/sale/tesla/model_3/1106278581-1ec1815d/,Tesla,"Tesla Model 3 Long Range I, 2018",3 150 000,,27 мин,22.38 ч,75.0 кВт⋅ч,560 км,1500,250.0 кВт,До 80% при 120 кВт,-30-60 С,Литий-ионная (Li-ion),,1 владелец,5 лет и 5 месяцев,,2018,******|40,0 ₽ в год,,Оригинал/Электронный,84 000 км,,Не требует ремонта,Растаможен,,,,,346 л.с. (258 кВт),527 Н⋅м,WLTP,,,,,,Электро,,,D,4,5,Левый,США,425 л,,2265 кг,1847 кг,Дисковые вентилируемые,Дисковые вентилируемые,"Независимая, пружинная","Независимая, пружинная",1443 мм,4694 мм,140 мм,2875 мм,235/45 R18,"8.5x21 ET40, 8x19 ET40, 8x20 ET40",DIA64.1 5x114.3 мм,1849 мм,1580 мм,1580 мм,1,Автомат,Полный,,233 км/ч,,4.5 с,16.0 кВт⋅ч/100 км,,
